,id,fullname,Height,Weight,Reach,STANCE,DOB,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg,lastupdated,HightCM,WeightKG,ReachCM
17,0112352cb32f5026,Denis Tiuliulin,"6' 1""",185 lbs.,"77""",Orthodox,"May 17, 1988",4.45,37%,6.03,37%,0.00,0%,33%,0.0,2022-03-31 21:46:11.970931,185.42,83.91,195.58
18,34ff304266360297,Manon Fiorot,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",6.60,45%,2.52,70%,1.91,50%,83%,0.0,2022-03-31 21:46:11.970931,170.18,56.7,165.1
19,8e1f36476ef02a6a,Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",3.61,36%,4.24,54%,0.33,30%,55%,0.1,2022-03-31 21:46:11.970931,162.56,56.7,162.56
20,1a31ef98efce7a79,Matheus Nicolau,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",3.64,52%,3.09,67%,1.46,42%,93%,1.0,2022-03-31 21:46:11.970931,167.64,56.7,167.64
21,9ada30894bf04e19,David Dvorak,"5' 5""",125 lbs.,"68""",Orthodox,"Jun 05, 1992",3.87,43%,3.00,61%,0.00,0%,81%,0.3,2022-03-31 21:46:11.970931,165.1,56.7,172.72
22,12e0fdc606f7e274,Luis Saldana,"5' 11""",145 lbs.,"73""",Orthodox,"Jan 27, 1991",4.92,50%,3.32,62%,0.54,20%,44%,0.3,2022-03-31 21:46:11.970931,180.34,65.77,185.42
23,0e5c4e72237461bb,Bruno Souza,"5' 10""",145 lbs.,"70""",Orthodox,"Mar 07, 1996",3.73,39%,5.30,45%,0.50,16%,60%,0.0,2022-03-31 21:46:11.970931,177.8,65.77,177.8
24,399afbabc02376b5,Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",7.33,65%,2.65,64%,4.07,100%,100%,2.0,2022-03-31 21:46:11.970931,195.58,116.12,198.12
25,279566840aa55bf2,Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988",4.83,57%,3.04,53%,0.52,70%,71%,0.1,2022-03-31 21:46:11.970931,200.66,113.4,203.2
26,040a74bb0a465c54,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994",3.31,42%,2.22,66%,1.41,50%,76%,0.4,2022-03-31 21:46:11.970931,172.72,65.77,177.8
27,193b9d1858bc4df3,Dan Hooker,"6' 0""",145 lbs.,"75""",Switch,"Feb 13, 1990",4.91,47%,4.81,51%,0.89,36%,78%,0.2,2022-03-31 21:46:11.970931,182.88,65.77,190.5
28,7826923b47f8d72a,Paddy Pimblett,"5' 10""",155 lbs.,"73""",Orthodox,"Jan 03, 1995",6.07,57%,3.89,46%,1.82,25%,0%,1.8,2022-03-31 21:46:11.970931,177.8,70.31,185.42
29,ec18eb918121787c,Kazula Vargas,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 15, 1985",3.65,53%,1.77,57%,0.40,25%,30%,0.4,2022-03-31 21:46:11.970931,172.72,70.31,180.34
30,fd55393021a8c255,Gunnar Nelson,"5' 11""",170 lbs.,"72""",Switch,"Jul 28, 1988",1.83,60%,3.05,50%,1.86,60%,66%,0.9,2022-03-31 21:46:11.970931,180.34,77.11,182.88
31,8abac218746e04ca,Takashi Sato,"5' 10""",170 lbs.,"73""",Southpaw,"Jun 09, 1990",2.28,38%,4.16,44%,0.35,50%,60%,0.0,2022-03-31 21:46:11.970931,177.8,77.11,185.42
32,51018a31ddf31eb2,Molly McCann,"5' 4""",125 lbs.,"62""",Orthodox,"May 04, 1990",5.83,50%,4.93,64%,1.79,36%,34%,0.6,2022-03-31 21:46:11.970931,162.56,56.7,157.48
33,528b071cf3da7c56,Luana Carolina,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 11, 1993",4.64,50%,3.55,47%,0.00,0%,82%,1.0,2022-03-31 21:46:11.970931,167.64,56.7,175.26
34,54f64b5e283b0ce7,Ilia Topuria,"5' 7""",155 lbs.,"69""",Orthodox,"Jan 21, 1997",2.87,48%,2.28,64%,3.15,46%,100%,2.6,2022-03-31 21:46:11.970931,170.18,70.31,175.26
35,4c88a1db5a46c6a4,Jai Herbert,"6' 1""",155 lbs.,"77""",Orthodox,"May 13, 1988",2.47,36%,2.90,45%,0.00,0%,42%,0.0,2022-03-31 21:46:11.970931,185.42,70.31,195.58
36,87a1dc546b1c5caf,Makwan Amirkhani,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988",1.36,43%,2.41,51%,4.08,43%,50%,1.2,2022-03-31 21:46:11.970931,177.8,65.77,182.88
37,56fcb2c4d99f9d1b,Mike Grundy,"5' 7""",145 lbs.,"72""",Orthodox,"Jan 03, 1987",2.09,45%,4.45,56%,4.06,28%,50%,0.4,2022-03-31 21:46:11.970931,170.18,65.77,182.88
38,f14cf73e51b29254,Sergei Pavlovich,"6' 3""",257 lbs.,"84""",Southpaw,"May 13, 1992",6.08,50%,4.45,46%,0.00,0%,66%,0.0,2022-03-31 21:46:11.970931,190.5,116.57,213.36
39,2f5cbecbbe18bac4,Shamil Abdurakhimov,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.60,44%,2.80,58%,1.09,23%,47%,0.2,2022-03-31 21:46:11.970931,190.5,106.59,193.04
40,eabf206b162b3b83,Paul Craig,"6' 3""",205 lbs.,"76""",Orthodox,"Nov 27, 1987",2.51,51%,2.49,48%,2.13,26%,50%,2.0,2022-03-31 21:46:11.970931,190.5,92.99,193.04
41,1091d4d957141094,Nikita Krylov,"6' 3""",205 lbs.,"77""",Orthodox,"Mar 07, 1992",4.35,56%,2.44,43%,1.43,35%,54%,1.3,2022-03-31 21:46:11.970931,190.5,92.99,195.58
42,b8a85389d115e35a,Jack Shore,"5' 8""",135 lbs.,"71""",Orthodox,"Feb 06, 1995",4.18,59%,2.27,60%,4.13,41%,84%,0.7,2022-03-31 21:46:11.970931,172.72,61.23,180.34
43,45e738622ea2c02c,Timur Valiev,"5' 6""",135 lbs.,"67""",Orthodox,"Jan 19, 1990",5.19,53%,3.33,45%,1.73,40%,55%,0.3,2022-03-31 21:46:11.970931,167.64,61.23,170.18
44,ac7c765882f2c68c,Elise Reed,"5' 3""",115 lbs.,"63""",Orthodox,"Dec 05, 1992",4.09,53%,4.36,59%,0.00,0%,55%,0.0,2022-03-31 21:46:11.970931,160.02,52.16,160.02
45,3351aa64aa83c4d9,Cory McKenna,"5' 3""",115 lbs.,"58""",Orthodox,"Jul 11, 1999",3.64,41%,3.71,45%,1.33,44%,71%,0.0,2022-03-31 21:46:11.970931,160.02,52.16,147.32
46,75353550928a7921,Muhammad Mokaev,"5' 7""",125 lbs.,"70""",Orthodox,"Jul 30, 2000",2.07,40%,1.03,80%,0.00,0%,0%,15.5,2022-03-31 21:46:11.970931,170.18,56.7,177.8
47,7f6ed67d3ed3c036,Cody Durden,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 29, 1991",3.44,46%,4.06,48%,4.38,38%,60%,0.4,2022-03-31 21:46:11.970931,170.18,56.7,170.18
48,d802174b0c0c1f4e,Magomed Ankalaev,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992",3.49,54%,2.13,61%,1.01,33%,85%,0.0,2022-03-31 21:46:11.970931,190.5,92.99,190.5
49,dea070ed4a2a8281,Thiago Santos,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",3.77,47%,2.37,55%,0.54,36%,65%,0.1,2022-03-31 21:46:11.970931,187.96,92.99,193.04
50,efb96bf3e9ada36f,Song Yadong,"5' 8""",135 lbs.,"67""",Orthodox,"Dec 02, 1997",4.92,42%,3.78,59%,0.45,42%,60%,0.3,2022-03-31 21:46:11.970931,172.72,61.23,170.18
51,fea79f9bc8c68769,Marlon Moraes,"5' 6""",135 lbs.,"67""",Orthodox,"Apr 26, 1988",3.37,40%,4.53,54%,0.87,41%,46%,0.3,2022-03-31 21:46:11.970931,167.64,61.23,170.18
52,94426bb170c88115,Sodiq Yusuff,"5' 9""",145 lbs.,"71""",Orthodox,"May 19, 1993",5.22,48%,3.63,57%,0.18,12%,68%,0.4,2022-03-31 21:46:11.970931,175.26,65.77,180.34
53,7aa3d6964eff4877,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988",4.15,51%,2.92,64%,0.58,70%,64%,0.8,2022-03-31 21:46:11.970931,177.8,65.77,185.42
54,749f572d1d3161fb,Khalil Rountree Jr.,"6' 1""",205 lbs.,"76""",Southpaw,"Feb 26, 1990",3.34,38%,3.55,49%,0.00,0%,50%,0.2,2022-03-31 21:46:11.970931,185.42,92.99,193.04
55,37d5b176d438d2a5,Karl Roberson,"6' 1""",185 lbs.,"74""",Southpaw,"Oct 04, 1990",2.89,52%,2.56,58%,0.85,57%,47%,0.6,2022-03-31 21:46:11.970931,185.42,83.91,187.96
56,519e4fe37ce9ff75,Drew Dober,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.40,40%,4.23,52%,0.80,17%,53%,0.1,2022-03-31 21:46:11.970931,172.72,70.31,177.8
57,809bd1a871491508,Terrance McKinney,"5' 10""",155 lbs.,"73""",Switch,"Sep 15, 1994",4.11,59%,1.77,56%,4.84,44%,100%,1.2,2022-03-31 21:46:11.970931,177.8,70.31,185.42
58,e5549c82bfb5582d,Alex Pereira,"6' 4""",185 lbs.,"79""",Orthodox,"Jul 07, 1987",5.86,60%,3.05,60%,0.00,0%,73%,0.0,2022-03-31 21:46:11.970931,193.04,83.91,200.66
59,12ebd7d157e91701,Bruno Silva,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 13, 1989",4.94,51%,4.79,37%,0.89,18%,68%,0.0,2022-03-31 21:46:11.970931,182.88,83.91,187.96
60,4aa58269d0664b5b,Matthew Semelsberger,"6' 1""",170 lbs.,"75""",Switch,"Nov 23, 1992",5.01,48%,4.55,59%,0.99,100%,42%,0.3,2022-03-31 21:46:11.970931,185.42,77.11,190.5
61,725b1abc9a39d873,AJ Fletcher,"5' 10""",170 lbs.,"67""",Switch,"Feb 18, 1997",2.53,55%,2.53,55%,4.31,62%,0%,1.7,2022-03-31 21:46:11.970931,177.8,77.11,170.18
62,6fd953151d981979,JJ Aldrich,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992",4.04,45%,4.45,61%,0.73,38%,72%,0.0,2022-03-31 21:46:11.970931,165.1,56.7,170.18
63,38c7f72747f4f712,Gillian Robertson,"5' 5""",125 lbs.,"63""",Orthodox,"May 17, 1995",2.39,48%,2.78,50%,2.36,40%,28%,0.9,2022-03-31 21:46:11.970931,165.1,56.7,160.02
64,bbab3baf66128ae2,Javid Basharat,"5' 9""",135 lbs.,"69""",Orthodox,"Sep 07, 1995",5.45,58%,2.53,64%,1.54,60%,100%,0.5,2022-03-31 21:46:11.970931,175.26,61.23,175.26
65,ec23c1be628d8057,Trevin Jones,"5' 7""",135 lbs.,"70""",Southpaw,"Aug 04, 1990",2.90,42%,5.00,41%,0.71,12%,71%,0.0,2022-03-31 21:46:11.970931,170.18,61.23,177.8
66,29af297d9f1de0f8,Damon Jackson,"5' 11""",145 lbs.,"71""",Switch,"Aug 08, 1988",2.65,38%,3.10,50%,2.57,36%,35%,2.3,2022-03-31 21:46:11.970931,180.34,65.77,180.34
67,c7d7fda69ec410d3,Kamuela Kirk,"5' 10""",145 lbs.,"75""",Switch,"Apr 13, 1994",2.99,49%,5.10,37%,0.86,40%,53%,1.3,2022-03-31 21:46:11.970931,177.8,65.77,190.5
68,f29a6350c69f4a33,Miranda Maverick,"5' 3""",125 lbs.,"65""",Southpaw,"Jul 01, 1997",3.62,41%,2.69,59%,2.10,61%,44%,0.3,2022-03-31 21:46:11.970931,160.02,56.7,165.1
69,70d2329a92864fdb,Sabina Mazo,"5' 7""",125 lbs.,"70""",Orthodox,"Mar 25, 1997",6.10,43%,4.35,57%,0.65,80%,59%,0.2,2022-03-31 21:46:11.970931,170.18,56.7,177.8
70,f14f644d41ade29f,Cody Brundage,"6' 0""",185 lbs.,"72""",Orthodox,"May 16, 1994",2.42,60%,2.75,48%,1.42,25%,68%,1.4,2022-03-31 21:46:11.970931,182.88,83.91,182.88
71,ce632027bf2a871b,Dalcha Lungiambula,"5' 8""",185 lbs.,"76""",Orthodox,"Jul 31, 1987",3.30,44%,3.72,53%,2.19,50%,75%,0.0,2022-03-31 21:46:11.970931,172.72,83.91,193.04
72,d05412b513b19621,Guido Cannetti,"5' 6""",135 lbs.,"68""",Southpaw,"Dec 19, 1979",3.52,55%,2.94,51%,1.98,50%,70%,0.2,2022-03-31 21:46:11.970931,167.64,61.23,172.72
73,9c27f3217891f3f0,Kris Moutinho,"5' 7""",135 lbs.,"68""",Southpaw,"Aug 09, 1992",4.86,32%,15.48,28%,0.00,0%,0%,0.0,2022-03-31 21:46:11.970931,170.18,61.23,172.72
74,e90a2f22417af68e,Azamat Murzakanov,"5' 10""",225 lbs.,"71""",Southpaw,"Apr 12, 1989",2.69,43%,3.42,56%,1.09,16%,0%,0.0,2022-03-31 21:46:11.970931,177.8,102.06,180.34
75,6aae253467e8f9ce,Tafon Nchukwi,"6' 0""",205 lbs.,"77""",Orthodox,"Oct 14, 1994",6.12,52%,3.87,56%,0.96,57%,71%,0.0,2022-03-31 21:46:11.970931,182.88,92.99,195.58
76,dc9572dd6ec74859,Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",4.10,39%,3.05,55%,4.05,45%,72%,0.2,2022-03-31 21:46:11.970931,180.34,77.11,182.88
77,47b9e0e7703a4868,Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.11,48%,3.06,64%,1.44,59%,74%,0.3,2022-03-31 21:46:11.970931,180.34,77.11,187.96
78,6a2f7c151031653d,Rafael Dos Anjos,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 26, 1984",3.62,46%,3.24,61%,1.99,37%,58%,0.6,2022-03-31 21:46:11.970931,172.72,70.31,177.8
79,b6452706b373eea1,Renato Moicano,"5' 11""",155 lbs.,"72""",Orthodox,"May 21, 1989",4.80,48%,4.07,61%,1.70,48%,73%,0.6,2022-03-31 21:46:11.970931,180.34,70.31,182.88
80,d9c6f19f958643e9,Bryce Mitchell,"5' 10""",145 lbs.,"70""",Southpaw,"Oct 04, 1994",2.28,63%,1.39,59%,3.40,52%,33%,1.9,2022-03-31 21:46:11.970931,177.8,65.77,177.8
81,64a50dad704d1d49,Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",3.96,44%,4.10,58%,0.38,44%,75%,0.1,2022-03-31 21:46:11.970931,180.34,65.77,190.5
82,3a46b268013afede,Kevin Holland,"6' 3""",185 lbs.,"81""",Orthodox,"Nov 05, 1992",3.84,55%,2.38,55%,0.87,45%,49%,0.5,2022-03-31 21:46:11.970931,190.5,83.91,205.74
83,57b10fca4f9c9a7a,Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2.99,51%,2.55,46%,2.35,38%,63%,0.6,2022-03-31 21:46:11.970931,180.34,77.11,193.04
84,e2f6b2769aaedd6c,Serghei Spivac,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",3.79,49%,3.22,54%,3.29,60%,70%,0.2,2022-03-31 21:46:11.970931,190.5,117.93,198.12
85,85073dbd1be65ed9,Greg Hardy,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 28, 1988",4.79,50%,3.31,55%,0.20,33%,64%,0.0,2022-03-31 21:46:11.970931,195.58,120.2,203.2
86,4d8fa64202cee4c1,Jalin Turner,"6' 3""",155 lbs.,"77""",Southpaw,"May 18, 1995",6.51,47%,4.34,44%,1.16,80%,76%,1.7,2022-03-31 21:46:11.970931,190.5,70.31,195.58
87,af9f42e6894047fc,Jamie Mullarkey,"6' 0""",155 lbs.,"74""",Orthodox,"Aug 17, 1994",3.42,43%,5.05,47%,3.38,32%,57%,0.3,2022-03-31 21:46:11.970931,182.88,70.31,187.96
88,cd2c4d30c6e13b47,Marina Rodriguez,"5' 6""",115 lbs.,"65""",Orthodox,"Apr 29, 1987",5.03,47%,3.07,57%,0.20,33%,65%,0.2,2022-03-31 21:46:11.970931,167.64,52.16,165.1
89,c41d426cc7326d1b,Yan Xiaonan,"5' 5""",115 lbs.,"63""",Orthodox,"Jun 16, 1989",5.66,42%,3.77,62%,1.06,66%,65%,0.0,2022-03-31 21:46:11.970931,165.1,52.16,160.02
90,8c57c7b8c3bab0eb,Nicolae Negumereanu,"6' 0""",205 lbs.,"78""",Orthodox,"Sep 04, 1994",3.39,39%,5.92,38%,0.65,18%,62%,0.0,2022-03-31 21:46:11.970931,182.88,92.99,198.12
91,8667caa0451d245b,Kennedy Nzechukwu,"6' 5""",205 lbs.,"83""",Southpaw,"Jun 13, 1992",5.13,44%,4.90,51%,0.00,0%,80%,0.0,2022-03-31 21:46:11.970931,195.58,92.99,210.82
92,b4192a975027aab6,Maryna Moroz,"5' 7""",125 lbs.,"67""",Orthodox,"Sep 08, 1991",4.04,32%,3.98,52%,0.78,22%,47%,0.8,2022-03-31 21:46:11.970931,170.18,56.7,170.18
93,a08ddd04eaffd81d,Mariya Agapova,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.56,53%,4.37,51%,0.69,66%,42%,0.7,2022-03-31 21:46:11.970931,167.64,56.7,172.72
94,2b6fc1c02736833d,Umar Nurmagomedov,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 01, 1996",3.61,64%,0.67,83%,7.56,37%,0%,2.5,2022-03-31 21:46:11.970931,172.72,65.77,175.26
95,7be14eaed4c74856,Brian Kelleher,"5' 6""",145 lbs.,"66""",Switch,"Aug 19, 1986",3.41,40%,4.66,54%,1.82,42%,63%,0.7,2022-03-31 21:46:11.970931,167.64,65.77,167.64
96,c96d9178c9ed9e62,Tim Elliott,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.58,44%,2.86,56%,3.73,44%,61%,1.0,2022-03-31 21:46:11.970931,170.18,56.7,167.64
97,f00ac08ab056af5d,Tagir Ulanbekov,"5' 7""",125 lbs.,"70""",Southpaw,"Aug 07, 1991",3.42,44%,3.36,54%,3.67,42%,61%,0.7,2022-03-31 21:46:11.970931,170.18,56.7,177.8
98,5b86d491d63890c5,Ludovit Klein,"5' 7""",155 lbs.,"72""",Southpaw,"Feb 22, 1995",3.58,55%,4.22,45%,1.38,36%,80%,0.0,2022-03-31 21:46:11.970931,170.18,70.31,182.88
99,207773daeb4afa7b,Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",4.55,53%,3.91,49%,0.35,25%,85%,0.3,2022-03-31 21:46:11.970931,175.26,70.31,193.04
100,e4277e87a789d687,Dustin Jacoby,"6' 3""",205 lbs.,"76""",Orthodox,"Apr 04, 1988",5.30,46%,3.75,58%,0.39,42%,58%,0.0,2022-03-31 21:46:11.970931,190.5,92.99,193.04
101,0d65c432720accb9,Michal Oleksiejczuk,"6' 0""",205 lbs.,"74""",Southpaw,"Feb 22, 1995",4.75,49%,4.27,64%,0.73,42%,47%,0.0,2022-03-31 21:46:11.970931,182.88,92.99,187.96
102,275aca31f61ba28c,Islam Makhachev,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",2.27,57%,0.84,68%,3.41,65%,88%,1.2,2022-03-31 21:46:11.970931,177.8,70.31,177.8
103,887961364be5ceb3,Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",5.88,52%,3.65,62%,1.34,38%,72%,0.3,2022-03-31 21:46:11.970931,177.8,70.31,180.34
104,4dcfb28c011c11b2,Wellington Turman,"6' 0""",185 lbs.,"72""",Orthodox,"Jul 22, 1996",2.96,49%,4.04,42%,1.98,20%,85%,1.0,2022-03-31 21:46:11.970931,182.88,83.91,182.88
105,67f272324a030d00,Misha Cirkunov,"6' 3""",185 lbs.,"77""",Orthodox,"Feb 27, 1987",3.87,51%,3.00,57%,4.25,43%,76%,1.8,2022-03-31 21:46:11.970931,190.5,83.91,195.58
106,b1e5bcaad32a3cac,Priscila Cachoeira,"5' 7""",125 lbs.,"65""",Orthodox,"Aug 19, 1988",4.46,43%,7.91,45%,0.21,33%,65%,0.0,2022-03-31 21:46:11.970931,170.18,56.7,165.1
107,a20f234df70f2182,Ji Yeon Kim,"5' 7""",125 lbs.,"72""",Orthodox,"Oct 18, 1989",5.86,36%,5.64,56%,0.00,0%,36%,0.0,2022-03-31 21:46:11.970931,170.18,56.7,182.88
108,eae48ff31db420c2,Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996",3.75,48%,1.36,61%,3.47,37%,78%,0.0,2022-03-31 21:46:11.970931,170.18,70.31,182.88
109,58bbef3770bb2dfc,Joel Alvarez,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",3.44,44%,3.68,49%,0.00,0%,0%,1.2,2022-03-31 21:46:11.970931,190.5,70.31,195.58
110,369ea36e450ae62a,Armen Petrosyan,"6' 3""",185 lbs.,"71""",Orthodox,"Nov 02, 1990",7.56,55%,3.39,54%,0.00,0%,37%,0.0,2022-03-31 21:46:11.970931,190.5,83.91,180.34
111,d1c65d2cf2925ddd,Gregory Rodrigues,"6' 3""",185 lbs.,"75""",Orthodox,"Feb 17, 1992",5.28,53%,5.87,52%,2.59,53%,100%,0.7,2022-03-31 21:46:11.970931,190.5,83.91,190.5
112,e4a47b07044ddd72,Ignacio Bahamondes,"6' 3""",155 lbs.,"75""",Orthodox,"Aug 27, 1997",8.33,47%,5.03,58%,0.00,0%,95%,0.6,2022-03-31 21:46:11.970931,190.5,70.31,190.5
113,a13d755965a4ec9f,Rong Zhu,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 07, 2000",4.27,47%,6.38,44%,3.64,62%,100%,0.0,2022-03-31 21:46:11.970931,175.26,70.31,180.34
114,68d35296f566792b,Josiane Nunes,"5' 2""",145 lbs.,"67""",Southpaw,"Dec 23, 1993",7.54,42%,4.37,52%,0.00,0%,70%,0.0,2022-03-31 21:46:11.970931,157.48,65.77,170.18
115,3eb4dc9a7d4ac906,Ramona Pascual,"5' 7""",145 lbs.,"66""",Southpaw,"Sep 23, 1988",3.47,52%,6.53,55%,3.00,30%,0%,0.0,2022-03-31 21:46:11.970931,170.18,65.77,167.64
116,1e4f273069fb9e85,Fares Ziam,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 21, 1997",2.06,40%,1.65,64%,0.32,11%,68%,0.0,2022-03-31 21:46:11.970931,185.42,70.31,190.5
117,f2477cf43c4975cc,Jonathan Martinez,"5' 8""",135 lbs.,"70""",Southpaw,"Apr 20, 1994",4.58,47%,3.82,59%,0.37,37%,73%,0.0,2022-03-31 21:46:11.970931,172.72,61.23,177.8
118,80daefbed11ce998,Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",3.45,35%,3.18,61%,0.54,22%,70%,0.3,2022-03-31 21:46:11.970931,167.64,61.23,170.18
119,3d074044a33825e7,Ramiz Brahimaj,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 17, 1992",2.47,41%,4.08,50%,1.90,66%,58%,2.4,2022-03-31 21:46:11.970931,177.8,77.11,182.88
120,ce175eaafe867d1f,Micheal Gillmore,"5' 11""",170 lbs.,"72""",Orthodox,"Mar 28, 1987",2.04,57%,3.02,43%,0.00,0%,50%,0.0,2022-03-31 21:46:11.970931,180.34,77.11,182.88
